"Gönderi Kodu","Sabit Bağlantı","Gönderi Mesajı",Tür,Ülkeler,Diller,Paylaşılma,"Hedeflenen Kitle","Lifetime Post Total Reach","Lifetime Post organic reach","Lifetime Post Paid Reach","Lifetime Post Total Impressions","Lifetime Post Organic Impressions","Lifetime Post Paid Impressions","Lifetime Engaged Users","Lifetime Matched Audience Targeting Consumers on Post","Lifetime Matched Audience Targeting Consumptions on Post","Lifetime Negative Feedback from Users","Lifetime Negative Feedback","Lifetime Post Impressions by people who have liked your Page","Lifetime Post reach by people who like your Page","Lifetime Post Paid Impressions by people who have liked your Page","Lifetime Paid reach of a post by people who like your Page","Lifetime People who have liked your Page and engaged with your post","Lifetime Organic views to 95%","Lifetime Organic views to 95%","Lifetime Paid views to 95%","Lifetime Paid views to 95%","Lifetime Organic Video Views","Lifetime Organic Video Views","Lifetime Paid Video Views","Lifetime Paid Video Views","Lifetime Average time video viewed","Lifetime Video length","Lifetime Talking About This (Post) by action type - share","Lifetime Talking About This (Post) by action type - like","Lifetime Talking About This (Post) by action type - comment","Lifetime Post Stories by action type - share","Lifetime Post Stories by action type - like","Lifetime Post Stories by action type - comment","Lifetime Post Audience Targeting Unique Consumptions by Type - video play","Lifetime Post Audience Targeting Unique Consumptions by Type - other clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - link clicks","Lifetime Post Audience Targeting Unique Consumptions by Type - photo view","Lifetime Matched Audience Targeting Consumptions by Type - video play","Lifetime Matched Audience Targeting Consumptions by Type - other clicks","Lifetime Matched Audience Targeting Consumptions by Type - link clicks","Lifetime Matched Audience Targeting Consumptions by Type - photo view","Lifetime Negative Feedback from Users by Type - hide_all_clicks","Lifetime Negative Feedback from Users by Type - hide_clicks","Lifetime Negative Feedback from Users by Type - report_spam_clicks","Lifetime Negative Feedback from Users by Type - unlike_page_clicks","Lifetime Negative Feedback by Type - hide_all_clicks","Lifetime Negative Feedback by Type - hide_clicks","Lifetime Negative Feedback by Type - report_spam_clicks","Lifetime Negative Feedback by Type - unlike_page_clicks"
153781998002036_2081795701867313,https://www.facebook.com/EczacibasiToplulugu/posts/2081795701867313,"22. İstanbul Tiyatro Festivali 17 Kasım'da perdelerini açıyor! Kurucu sponsoru olduğumuz İstanbul Kültür Sanat Vakfı tarafından düzenlenen festival programında 12 uluslararası, 12 yerli yapım 18 farklı mekânda izleyici karşısına çıkıyor. #OradaOlmak başkadır! Detaylar için: http://bit.ly/22istanbultiyatrofestivali #isttiyatrofest #tiyatrobirkezyaşanır #enerjimiztiyatroya #İKSV",Photo,,,"11/14/2018 06:38:48 AM"," ",76989,4469,73256,80882,6068,74481,299,190,216,7,7,12653,9489,6917,6023,144,0,0,0,0,0,0,0,0,0,0,3,117,1,3,117,10,,72,19,108,,81,20,115,5,2,,,5,2,,
153781998002036_2075058885874328,https://www.facebook.com/EczacibasiToplulugu/posts/2075058885874328,"Ulu Önder Mustafa Kemal Atatürk’ü aramızdan ayrılışının 80. yılında sevgi, saygı ve özlemle anıyoruz.",Video,,,"11/09/2018 06:17:53 AM"," ",751830,30700,408929,981909,37543,434072,57497,23020,28073,57,64,22687,14409,4757,4180,2096,5337,5507,8655,9061,63341,68408,63952,66274,4056,36969,5528,37775,283,5599,38481,336,15824,8677,,,18548,9524,,,15,48,,1,15,41,,1
153781998002036_2070983939615156,https://www.facebook.com/EczacibasiToplulugu/posts/2070983939615156,"Bülent Eczacıbaşı’nın Yapı Kredi Kültür Sanat Yayıncılık’tan çıkan “İşim Gücüm Budur Benim” kitabından birkaç sonuç… 
Söyleşi: Yazarının Gözünden “İşim Gücüm Budur Benim”
Bülent Eczacıbaşı kitabından ve kitabın yarattığı tartışmalardan yola çıkarak, düşüncelerini okurlarıyla paylaşıyor. 
Tarih: 7 Kasım 2018, Çarşamba 
Saat: 18:30 
Yer: Yapı Kredi Kültür Sanat Beyoğlu (Loca)

www.isimgucumbudurbenim.com #işimgücümbudurbenim",Video,,,"11/06/2018 04:18:54 AM"," ",20748,4764,15695,26865,6420,19457,615,468,586,2,2,7634,5320,1998,1271,236,50,56,80,80,967,1085,6415,7002,6139,133211,17,206,8,17,211,31,334,160,1,,366,216,1,,2,,,,2,,,
153781998002036_2063697603677123,https://www.facebook.com/EczacibasiToplulugu/posts/2063697603677123,"Bugüne kadar 100’ü aşkın müzisyene burs sağlayan Dr. Nejat F. Eczacıbaşı Vakfı, 2018-2019 yılında da olağanüstü yetenekli 11 genç müzik sanatçısına yurtdışı yüksek lisans eğitimleri için burs imkânı sunuyor. Bursiyerlerimizi tebrik ediyor, müzik eğitimlerinde ve kariyerlerinde başarılar diliyoruz. http://bit.ly/2018-2019muzikbursiyerleri #Eczacıbaşı #MüzikBursiyerleri",Video,,,"11/01/2018 06:26:03 AM"," ",781105,3250,777601,2159261,4303,2149854,21944,20636,27854,4,4,180510,55176,176448,54185,1655,92,97,1428,1449,1309,1456,100835,116350,1822,60307,44,1185,24,49,1249,38,19793,616,585,,26514,703,597,,1,3,,,1,3,,
153781998002036_2063187060394844,https://www.facebook.com/EczacibasiToplulugu/posts/2063187060394844,"2018 Spor Toto Şampiyonlar Kupası, Eczacıbaşı VitrA’nın oldu. Takımımızı yürekten kutluyoruz.
#EczacıbaşıVitrA
#BirlikteDahaGüçlü
Eczacıbaşı Spor Kulübü",Photo,,,"10/31/2018 10:37:55 PM"," ",6413,6209,0,8705,8384,0,146,64,82,3,3,8033,5861,0,0,129,0,0,0,0,0,0,0,0,0,0,5,100,2,5,101,2,,38,,30,,49,,33,3,,,,3,,,
153781998002036_2055785434468340,https://www.facebook.com/EczacibasiToplulugu/posts/2055785434468340,"Cumhuriyetimiz 95 yaşında! Coşkuluyuz, gururluyuz… 29 Ekim Cumhuriyet Bayramımız kutlu olsun.",Photo,,,"10/28/2018 11:36:38 PM"," ",7150,4764,0,10681,6862,0,411,103,113,3,3,7486,5223,0,0,273,0,0,0,0,0,0,0,0,0,0,21,338,1,21,347,2,,63,,43,,68,,45,2,1,,,2,1,,
153781998002036_2052941381419412,https://www.facebook.com/EczacibasiToplulugu/posts/2052941381419412,"Eczacıbaşı Spor Kulübü oyuncuları, Türk ve dünya voleybolunun yıldız isimlerinin yer aldığı kadrosuyla 2018-2019 sezonunu Kanyon Ofis’te düzenlenen basın toplantısıyla açtı. Konuşmasında “Kadınlar ve Spor Dünya Ödülü”ne değinen Eczacıbaşı Spor Kulübü Yönetim Kurulu Başkanı Faruk Eczacıbaşı, “52 yıllık tarihimizde kadın voleybol takımımızın 52’si A Takım, 22’si altyapılar olmak üzere toplamda 74 şampiyonluğu bulunuyor. Ancak, bu ödülü kazanmamızdaki en büyük etken takımımızın başarıları değil, voleybola ve kadınlara verdiğimiz destekler ve yaptığımız yatırımlardı. Kızlarımıza daima inandık, destekledik ve onlar da hem bize hem de tüm dünyaya, gerekli imkânlar sağlandığında Türk kadınının neler yapabileceğini gösterdiler” dedi.",Photo,,,"10/27/2018 02:34:03 AM"," ",5830,5630,0,8055,7658,0,245,182,255,2,2,7360,5385,0,0,204,0,0,0,0,0,0,0,0,0,0,4,87,3,4,92,4,,89,,134,,117,,138,2,,,,2,,,
153781998002036_2050300678350149,https://www.facebook.com/EczacibasiToplulugu/posts/2050300678350149,"Eczacıbaşı Spor Kulübü yıldızları 2018-2019 sezonunu, voleybol severlerle “Voleybol Kanyon’da” imza günü etkinliğinde açıyor. Etkinlik, 27 Ekim 2018 Cumartesi günü saat 12:00 - 13:30 arasında Kanyon'da gerçekleşecek.",Photo,,,"10/25/2018 07:41:25 AM"," ",248886,4157,240048,257203,5713,241940,993,409,415,4,4,12329,9974,6593,5992,241,0,0,0,0,0,0,0,0,0,0,18,599,1,18,599,1,,114,1,292,,118,1,296,2,2,,,2,2,,
153781998002036_2040780345968849,https://www.facebook.com/EczacibasiToplulugu/posts/2040780345968849,"2019 Dr. Nejat F. Eczacıbaşı Tıp Ödülleri başvuruları başladı! #bilimekatkıbaşarıyaödül",Link,,,"10/18/2018 07:08:35 AM"," ",548066,2398,544381,1883820,3604,1875430,4267,3113,3158,2,2,284041,72160,280135,71772,956,0,0,0,0,0,0,0,0,0,0,62,1166,3,75,1205,3,,488,2566,,,504,2591,,,2,,,,2,,
153781998002036_2040307359349481,https://www.facebook.com/EczacibasiToplulugu/posts/2040307359349481,"“İnsanlar bakarak, görerek, yaşayarak bir şey öğreniyor, değil mi? Ben de baktım, gördüm, yaşadım, öğrendim işte.
Bir de çektim. Hadi merhaba…” *

Türkiye’nin öncü fotoğraf sanatçılarından Ara Güler’i kaybetmenin derin üzüntüsünü yaşıyoruz. Ailesine ve tüm sevenlerine başsağlığı diliyoruz. 

* Eczacıbaşı Fotoğraf Sanatçıları Dizisi, Ara Güler Retrospektifi’nden (2011)",Photo,,,"10/18/2018 12:09:16 AM"," ",10213,8443,0,14526,11474,0,579,381,446,3,3,11454,8285,0,0,403,0,0,0,0,0,0,0,0,0,0,29,259,11,29,275,11,,360,1,33,,410,1,35,2,1,,,2,1,,
